                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3236,                 1.5436,                 1.0696,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.06695,             9.9448e-05,             9.9448e-05
                      2,                 1.0818,                0.92775,                0.96888,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.033716,             0.00019845,             0.00019845
                      3,                0.96857,                0.79443,                0.93338,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00048062,             0.00029646,             0.00029646
                      4,                0.91226,                0.72825,                0.91996,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029551,             0.00029551,             0.00029551
                      5,                  0.872,                0.68385,                0.91063,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029551,             0.00029551,             0.00029551
                      6,                 0.8325,                0.64757,                0.89784,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029401,             0.00029401,             0.00029401
                      7,                0.81184,                0.62344,                0.89696,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029251,             0.00029251,             0.00029251
                      8,                0.79548,                0.60774,                0.88801,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029101,             0.00029101,             0.00029101
                      9,                0.77396,                 0.5887,                0.88782,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00028951,             0.00028951,             0.00028951
                     10,                0.76661,                0.57328,                0.88351,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00028802,             0.00028802,             0.00028802
                     11,                0.75158,                0.55996,                0.88393,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00028652,             0.00028652,             0.00028652
                     12,                 0.7402,                0.55425,                0.87902,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00028502,             0.00028502,             0.00028502
                     13,                0.73272,                0.54197,                0.87635,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00028352,             0.00028352,             0.00028352
                     14,                0.72233,                0.53432,                0.87655,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00028202,             0.00028202,             0.00028202
                     15,                0.71039,                0.52864,                0.87196,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00028053,             0.00028053,             0.00028053
                     16,                 0.7147,                0.52711,                0.87535,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027903,             0.00027903,             0.00027903
                     17,                0.69635,                0.50829,                0.86759,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027753,             0.00027753,             0.00027753
                     18,                0.69717,                0.50973,                0.86761,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027603,             0.00027603,             0.00027603
                     19,                0.68323,                0.50197,                0.86577,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027453,             0.00027453,             0.00027453
                     20,                0.68306,                 0.5033,                0.86575,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027304,             0.00027304,             0.00027304
                     21,                0.67062,                0.48962,                0.86246,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027154,             0.00027154,             0.00027154
                     22,                0.67418,                0.48832,                0.86268,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027004,             0.00027004,             0.00027004
                     23,                0.66822,                0.48464,                 0.8594,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026854,             0.00026854,             0.00026854
                     24,                 0.6604,                 0.4778,                0.86012,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026704,             0.00026704,             0.00026704
                     25,                0.66247,                0.48021,                0.86241,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026554,             0.00026554,             0.00026554
                     26,                0.64939,                0.47075,                0.85816,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026405,             0.00026405,             0.00026405
                     27,                0.65285,                0.47136,                0.85809,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026255,             0.00026255,             0.00026255
                     28,                0.64798,                0.47084,                0.85922,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026105,             0.00026105,             0.00026105
                     29,                 0.6408,                0.46428,                0.85824,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025955,             0.00025955,             0.00025955
                     30,                0.64327,                0.46498,                0.85512,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025805,             0.00025805,             0.00025805
                     31,                0.64337,                0.46653,                0.85644,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025656,             0.00025656,             0.00025656
                     32,                0.63753,                0.46055,                0.85576,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025506,             0.00025506,             0.00025506
                     33,                0.63566,                0.45789,                0.85566,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025356,             0.00025356,             0.00025356
                     34,                0.62903,                0.45238,                0.85357,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025206,             0.00025206,             0.00025206
                     35,                0.62856,                0.45593,                0.85481,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025056,             0.00025056,             0.00025056
                     36,                0.62416,                 0.4502,                0.85354,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00024907,             0.00024907,             0.00024907
                     37,                 0.6204,                0.44843,                0.85329,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00024757,             0.00024757,             0.00024757
                     38,                0.61792,                0.44293,                0.84878,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00024607,             0.00024607,             0.00024607
                     39,                0.61609,                0.44226,                0.85036,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00024457,             0.00024457,             0.00024457
                     40,                0.61589,                0.43938,                0.85139,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00024307,             0.00024307,             0.00024307
                     41,                0.61236,                0.43893,                0.85004,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00024158,             0.00024158,             0.00024158
                     42,                0.60878,                0.43622,                 0.8497,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00024008,             0.00024008,             0.00024008
                     43,                0.61008,                0.43534,                  0.849,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023858,             0.00023858,             0.00023858
                     44,                0.60164,                0.43321,                0.84601,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023708,             0.00023708,             0.00023708
                     45,                0.60071,                0.42891,                0.84661,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023558,             0.00023558,             0.00023558
                     46,                0.60188,                0.42878,                0.84621,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023409,             0.00023409,             0.00023409
                     47,                0.59316,                0.42421,                0.84668,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023259,             0.00023259,             0.00023259
                     48,                0.59888,                0.42851,                0.84805,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023109,             0.00023109,             0.00023109
                     49,                0.59631,                0.42471,                0.84676,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022959,             0.00022959,             0.00022959
                     50,                 0.5982,                0.42337,                0.84739,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022809,             0.00022809,             0.00022809
                     51,                0.59339,                0.42192,                0.84575,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002266,              0.0002266,              0.0002266
                     52,                0.58684,                0.41959,                0.84463,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002251,              0.0002251,              0.0002251
                     53,                 0.5855,                0.41718,                 0.8453,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002236,              0.0002236,              0.0002236
                     54,                 0.5867,                 0.4209,                0.84514,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002221,              0.0002221,              0.0002221
                     55,                 0.5848,                0.42066,                0.84371,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002206,              0.0002206,              0.0002206
                     56,                 0.5869,                0.41818,                 0.8443,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021911,             0.00021911,             0.00021911
