                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0664,                 4.3524,                 1.3228,                      1,                0.06197,                0.43154,                0.30265,                0.85905,                  4.094,                 1.1514,                0.00628,                 0.0004,                 0.0004
                      2,                0.85416,                 2.6677,                 1.1442,                 0.8713,                0.18641,                0.47817,                0.37035,                0.84555,                 3.8096,                  1.051,              0.0055142,             0.00082418,             0.00082418
                      3,                0.82994,                 2.2335,                 1.1023,                0.54596,                 0.3211,                0.36378,                0.25859,                 1.0618,                 2.9545,                 1.3325,              0.0047475,              0.0012475,              0.0012475
                      4,                0.92677,                 2.1171,                 1.1457,                0.75484,                0.64969,                0.70541,                0.50324,                 1.1167,                 2.2626,                 1.4225,                0.00398,                0.00167,                0.00167
                      5,                0.97714,                 2.1848,                 1.1973,                0.45967,                0.49541,                0.46419,                0.29072,                 1.1738,                 4.7143,                 1.5592,              0.0032116,              0.0020916,              0.0020916
                      6,                0.97915,                 1.9645,                 1.2324,                0.41564,                0.54128,                0.57234,                0.39301,                 1.0508,                 11.859,                  1.362,              0.0024875,              0.0024875,              0.0024875
                      7,                0.99412,                 1.8639,                  1.215,                 0.2901,                0.33369,                0.25541,                0.15632,                   1.63,                  9.841,                  1.859,              0.0024875,              0.0024875,              0.0024875
                      8,                0.99133,                 1.6706,                 1.1951,                0.51724,                0.13761,                0.23248,                0.14603,                 1.1894,                  23.31,                 1.4429,               0.002485,               0.002485,               0.002485
                      9,                0.89007,                 1.5186,                 1.1393,                0.44142,                0.61468,                0.54083,                0.40199,                 1.1148,                 13.338,                 1.3806,              0.0024826,              0.0024826,              0.0024826
                     10,                0.86076,                 1.2894,                 1.0934,                0.70481,                0.66055,                0.73378,                0.49268,                  1.118,                 3.3531,                 1.2444,              0.0024801,              0.0024801,              0.0024801
                     11,                0.87429,                 1.2565,                 1.1209,                0.58248,                0.34561,                0.37404,                0.27289,                 1.2328,                 3.8385,                    1.3,              0.0024776,              0.0024776,              0.0024776
                     12,                0.90021,                  1.323,                 1.1424,                0.79024,                0.62215,                0.71838,                0.54698,                0.94013,                 1.4594,                 1.1665,              0.0024751,              0.0024751,              0.0024751
                     13,                0.85926,                 1.1458,                  1.083,                0.74353,                0.51376,                0.61452,                0.44589,                 1.1949,                 1.8675,                 1.3137,              0.0024726,              0.0024726,              0.0024726
                     14,                0.83574,                 1.1252,                 1.1125,                0.71234,                0.54529,                0.63596,                0.46982,                 1.0572,                 1.3211,                 1.2059,              0.0024701,              0.0024701,              0.0024701
                     15,                0.82966,                 1.0878,                 1.0895,                 0.7731,                 0.7815,                0.83593,                0.63123,                 1.0041,                  1.082,                 1.1033,              0.0024676,              0.0024676,              0.0024676
                     16,                0.81242,                0.98738,                 1.0723,                0.76978,                0.67491,                 0.7479,                0.59785,                0.82957,                 1.3575,                 1.0269,              0.0024651,              0.0024651,              0.0024651
                     17,                0.78312,                0.95549,                 1.0512,                0.78009,                0.78899,                0.85329,                0.67579,                0.85683,                 1.2333,                 1.1004,              0.0024626,              0.0024626,              0.0024626
                     18,                0.81343,                0.94658,                 1.0537,                0.83853,                0.77982,                0.85362,                0.66042,                0.91745,                 1.1053,                 1.1407,              0.0024601,              0.0024601,              0.0024601
                     19,                0.82727,                 1.0008,                 1.0561,                0.82305,                0.84404,                0.87392,                0.67428,                0.85426,                 1.0803,                 1.0718,              0.0024576,              0.0024576,              0.0024576
                     20,                0.80835,                 1.0245,                 1.0948,                0.80937,                0.85697,                0.88817,                0.70875,                0.86669,                0.96826,                 1.0823,              0.0024551,              0.0024551,              0.0024551
