                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6023,                 1.8043,                 1.6616,                0.55427,                0.51179,                0.49304,                0.20333,                 1.7859,                 4.5931,                 1.7945,               0.069888,              0.0029781,              0.0029781
                      2,                 1.4857,                 1.4483,                 1.5697,                0.77704,                0.70725,                0.74507,                 0.3256,                 1.8302,                 1.8123,                 1.8008,               0.039525,              0.0059482,              0.0059482
                      3,                 1.4608,                 1.3938,                 1.5649,                 0.7969,                0.70234,                0.75407,                0.38724,                 1.6411,                 1.6513,                 1.6653,              0.0091317,              0.0088884,              0.0088884
                      4,                 1.4174,                 1.3093,                 1.5236,                0.87507,                 0.7814,                0.81939,                0.31979,                 1.9023,                 1.3589,                 1.9238,              0.0088651,              0.0088651,              0.0088651
                      5,                 1.3635,                 1.2295,                 1.4882,                0.88471,                0.83301,                0.86307,                0.39943,                 1.7481,                 1.1911,                 1.6875,              0.0088651,              0.0088651,              0.0088651
                      6,                 1.3449,                 1.1789,                 1.4668,                 0.8607,                0.79134,                0.83641,                0.42775,                 1.5521,                 1.0443,                 1.5114,              0.0088202,              0.0088202,              0.0088202
                      7,                 1.3262,                 1.1483,                 1.4548,                0.90835,                0.86569,                0.90385,                0.50074,                 1.4575,                0.92492,                 1.4713,              0.0087752,              0.0087752,              0.0087752
                      8,                  1.311,                 1.1237,                 1.4445,                0.87661,                0.85585,                0.89161,                0.55919,                  1.239,                 0.9013,                 1.3321,              0.0087303,              0.0087303,              0.0087303
                      9,                 1.2949,                 1.0895,                 1.4276,                0.91837,                0.86589,                0.91499,                0.54615,                 1.2856,                0.83843,                 1.3436,              0.0086853,              0.0086853,              0.0086853
                     10,                 1.2948,                 1.0867,                 1.4257,                0.91836,                0.86267,                0.91656,                0.61137,                 1.1132,                0.78566,                 1.2427,              0.0086404,              0.0086404,              0.0086404
                     11,                 1.2662,                 1.0564,                  1.405,                0.88815,                0.83023,                0.88069,                0.58077,                 1.1498,                0.83022,                 1.2787,              0.0085954,              0.0085954,              0.0085954
                     12,                 1.2629,                 1.0429,                  1.407,                0.92196,                  0.855,                0.90568,                0.51216,                 1.4258,                0.86603,                 1.4085,              0.0085504,              0.0085504,              0.0085504
                     13,                 1.2527,                  1.026,                 1.3908,                0.89709,                0.87617,                0.91959,                0.61595,                    1.1,                0.73089,                 1.2379,              0.0085055,              0.0085055,              0.0085055
                     14,                 1.2324,                0.98958,                 1.3837,                0.92183,                0.87793,                0.91836,                0.51599,                 1.4679,                0.83419,                 1.4711,              0.0084605,              0.0084605,              0.0084605
                     15,                 1.2317,                0.97888,                 1.3794,                0.91286,                0.85915,                0.91745,                0.60193,                  1.169,                0.71746,                 1.3265,              0.0084156,              0.0084156,              0.0084156
                     16,                  1.223,                0.97024,                 1.3726,                0.91606,                0.86712,                0.93516,                0.61716,                 1.1265,                0.75254,                 1.2359,              0.0083706,              0.0083706,              0.0083706
                     17,                 1.2166,                0.95413,                 1.3661,                0.91344,                0.87958,                0.92858,                0.63462,                 1.1034,                0.69277,                 1.2263,              0.0083257,              0.0083257,              0.0083257
                     18,                 1.2164,                0.95948,                 1.3704,                0.91635,                0.90164,                0.94079,                0.63497,                 1.0782,                0.64752,                  1.223,              0.0082807,              0.0082807,              0.0082807
                     19,                 1.1968,                0.93584,                 1.3511,                0.91784,                0.87632,                0.92076,                0.56186,                 1.3089,                0.73526,                 1.3293,              0.0082358,              0.0082358,              0.0082358
                     20,                 1.1983,                0.92936,                 1.3538,                0.93413,                0.89278,                0.94127,                0.62969,                 1.1151,                0.65691,                 1.2112,              0.0081908,              0.0081908,              0.0081908
                     21,                 1.1865,                0.91534,                 1.3426,                0.93219,                0.89294,                0.93983,                0.63155,                 1.1511,                 0.6803,                 1.2426,              0.0081459,              0.0081459,              0.0081459
                     22,                 1.1831,                0.89438,                  1.337,                0.93029,                0.89129,                0.94553,                0.66164,                 1.0113,                 0.6471,                 1.1794,              0.0081009,              0.0081009,              0.0081009
                     23,                 1.1623,                0.88141,                 1.3289,                0.91924,                0.88922,                0.94422,                0.63734,                 1.0416,                0.64333,                 1.2162,              0.0080559,              0.0080559,              0.0080559
                     24,                 1.1639,                0.87105,                 1.3279,                0.91737,                0.87676,                0.93134,                0.65818,                 1.0081,                0.65577,                 1.2062,               0.008011,               0.008011,               0.008011
                     25,                 1.1597,                  0.863,                 1.3212,                0.93267,                0.88833,                0.94592,                0.66367,                 1.0042,                0.62367,                 1.1758,               0.007966,               0.007966,               0.007966
                     26,                 1.1628,                0.86683,                 1.3257,                0.93463,                0.91603,                0.95368,                0.67897,                0.99652,                0.57057,                 1.1522,              0.0079211,              0.0079211,              0.0079211
                     27,                 1.1462,                0.85121,                 1.3127,                0.87187,                0.82456,                0.86212,                0.54975,                 1.2604,                 0.7739,                 1.5189,              0.0078761,              0.0078761,              0.0078761
                     28,                 1.1506,                0.84491,                 1.3162,                 0.9313,                 0.9085,                0.93962,                0.66804,                 1.0104,                0.58552,                 1.1688,              0.0078312,              0.0078312,              0.0078312
                     29,                 1.1453,                0.84161,                 1.3098,                0.91731,                0.87646,                0.93641,                 0.6514,                 1.0191,                0.66768,                 1.1613,              0.0077862,              0.0077862,              0.0077862
                     30,                 1.1412,                 0.8349,                 1.3121,                0.93354,                0.89797,                0.94877,                0.68607,                0.94414,                0.59028,                 1.1271,              0.0077413,              0.0077413,              0.0077413
                     31,                 1.1326,                0.82157,                 1.3024,                 0.9528,                0.90746,                0.96058,                0.66811,                 1.0443,                0.57834,                 1.1621,              0.0076963,              0.0076963,              0.0076963
